reviews.text,reviews.rating,sentiment,clean,Predicted Sentiment
"Our kids love it and the Amazon unlimited is fantastic with tons of options. However, our kids still fight over usin our grownup tablet bc the screen is larger.",4.0,positive,ourkidsloveitandtheamazonunlimitedisfantasticwithtonsofoptionshoweverourkidsstillfightoverusinourgrownuptabletbcthescreenislarger,positive
"Paid $60 for it on sale during holidays, couldn't ask for better product for the price",5.0,positive,paid60foritonsaleduringholidayscouldntaskforbetterproductfortheprice,positive
"I purchased this since I bought my grandson this tablet for Christmas. The tablet is slow, considering price that's OK.I have problems with the charger, it won't charge when I am using the tablet, the charger needs to be plugged in and not moved for it to charge.For the price the tablet is OK.",3.0,neutral,ipurchasedthissinceiboughtmygrandsonthistabletforchristmasthetabletisslowconsideringpricethatsokihaveproblemswiththechargeritwontchargewheniamusingthetabletthechargerneedstobepluggedinandnotmovedforittochargeforthepricethetabletisok,positive
For a cheap starter tablet it's fine. Bought it to replace a cheaper kids tablet and it'll do for that.,4.0,positive,foracheapstartertabletitsfineboughtittoreplaceacheaperkidstabletanditlldoforthat,positive
I purchased this tablet for a 6 yr old and it is very easy for him to use.,5.0,positive,ipurchasedthistabletfora6yroldanditisveryeasyforhimtouse,positive
The functionality is great although I wish it came in more colors.,4.0,positive,thefunctionalityisgreatalthoughiwishitcameinmorecolors,positive
Not a huge fan of products that aren't Apple but this one is good. Haven't had any problems with them at all.,4.0,positive,notahugefanofproductsthatarentapplebutthisoneisgoodhaventhadanyproblemswiththematall,positive
"I like this e reader, but wish the screen were higher resolution. It requires decent light to look good, but it is easy on my eyes. The screen updates involve flashing the whole screen, which I noticed less over time. The advertised month long battery life is just standby time, it lasts much less if you are downloading and reading books.",4.0,positive,ilikethisereaderbutwishthescreenwerehigherresolutionitrequiresdecentlighttolookgoodbutitiseasyonmyeyesthescreenupdatesinvolveflashingthewholescreenwhichinoticedlessovertimetheadvertisedmonthlongbatterylifeisjuststandbytimeitlastsmuchlessifyouaredownloadingandreadingbooks,positive
it is smaller than i thought but it gets the job done.,5.0,positive,itissmallerthanithoughtbutitgetsthejobdone,positive
We bought two of these for the kids. They love them and I now have an echo dot,5.0,positive,weboughttwooftheseforthekidstheylovethemandinowhaveanechodot,positive
I love this tablet. The size fits perfectly in one hand. The display is wonderful and the loaded apps have me reading again. It is the absolute best!,5.0,positive,ilovethistabletthesizefitsperfectlyinonehandthedisplayiswonderfulandtheloadedappshavemereadingagainitistheabsolutebest,positive
Up and coming new technology helps everyone to enjoy life more greatly,5.0,positive,upandcomingnewtechnologyhelpseveryonetoenjoylifemoregreatly,positive
THe tablet with an added protective case has so far held up better than other tablets I have tried and the parental controls are great. I can also add educational apps that I want.,4.0,positive,thetabletwithanaddedprotectivecasehassofarheldupbetterthanothertabletsihavetriedandtheparentalcontrolsaregreaticanalsoaddeducationalappsthatiwant,positive
"This is my second Echo purchase. My first was the original Echo for my home and the automation feature aside. The sound is excellent, Alexa's response is better than any digital assistant to date, and the ready access to Prime is convenient. This is all of that and portable and rechargeable as well. Additionally the inclusion of Bluetooth and a headphone jack is amazing.",5.0,positive,thisismysecondechopurchasemyfirstwastheoriginalechoformyhomeandtheautomationfeatureasidethesoundisexcellentalexasresponseisbetterthananydigitalassistanttodateandthereadyaccesstoprimeisconvenientthisisallofthatandportableandrechargeableaswelladditionallytheinclusionofbluetoothandaheadphonejackisamazing,positive
Both my 2 year old and my 4 year old love this tablet!,4.0,positive,bothmy2yearoldandmy4yearoldlovethistablet,positive
"I have not been a fan of anything Android, but Amazon did this one right. I've had none of the issues I've experienced with other Android tablets, and it works great for shopping, browsing, reading, and listening to music.",5.0,positive,ihavenotbeenafanofanythingandroidbutamazondidthisonerightivehadnoneoftheissuesiveexperiencedwithotherandroidtabletsanditworksgreatforshoppingbrowsingreadingandlisteningtomusic,positive
Very satisfied with product as do my family /kids.,5.0,positive,verysatisfiedwithproductasdomyfamilykids,positive
"The tablet is pretty good, I would give it 5 stars if you are able to download an use apps from the Google store, that is one of my only big complaint. And also how fast the SD card got filled with items from Amazon OS that's on the tablet without the user knowing. On the other hand, With four kids using tablets as reward time it helps the kids free time is awesome it useful",3.0,neutral,thetabletisprettygoodiwouldgiveit5starsifyouareabletodownloadanuseappsfromthegooglestorethatisoneofmyonlybigcomplaintandalsohowfastthesdcardgotfilledwithitemsfromamazonosthatsonthetabletwithouttheuserknowingontheotherhandwithfourkidsusingtabletsasrewardtimeithelpsthekidsfreetimeisawesomeituseful,positive
I bought this for reading/listening books. Love the availability to expand the memory. Now I can load movies and tons of books! :-),5.0,positive,iboughtthisforreadinglisteningbookslovetheavailabilitytoexpandthememorynowicanloadmoviesandtonsofbooks,positive
"I like being able to turn on lights, music and the thermostat in our home!",5.0,positive,ilikebeingabletoturnonlightsmusicandthethermostatinourhome,positive
"I picked this up after purchasing an Echo. I wanted something battery powered that would work the same as my Echo. I use both devices mostly for music. It's great to be able to hear Pandora, or my Amazon music library with just the speaker now and not have to use my phone, laptop, etc. I can just grab the Tap and go anywhere in my house, outside to the deck, anywhere that I my wireless will reach.",5.0,positive,ipickedthisupafterpurchasinganechoiwantedsomethingbatterypoweredthatwouldworkthesameasmyechoiusebothdevicesmostlyformusicitsgreattobeabletohearpandoraormyamazonmusiclibrarywithjustthespeakernowandnothavetousemyphonelaptopetcicanjustgrabthetapandgoanywhereinmyhouseoutsidetothedeckanywherethatimywirelesswillreach,positive
I love that I have the ability to catch up on news and have this crazy thing turn on and off my lights. Love it!!,5.0,positive,ilovethatihavetheabilitytocatchuponnewsandhavethiscrazythingturnonandoffmylightsloveit,positive
I bought it as a gift for my parents and they absolutely love it!,5.0,positive,iboughtitasagiftformyparentsandtheyabsolutelyloveit,positive
The product is very durable and is great for children,5.0,positive,theproductisverydurableandisgreatforchildren,positive
My granddaughter loves her tablet toddler friendly,5.0,positive,mygranddaughterloveshertablettoddlerfriendly,positive
"Very easy to set up with an Amazon prime account. Haven't had to pay anything, great for small kids. Like the protective cover that goes on this device",5.0,positive,veryeasytosetupwithanamazonprimeaccounthaventhadtopayanythinggreatforsmallkidsliketheprotectivecoverthatgoesonthisdevice,positive
I bought this to read books on. Excellent for that. Difficult to navigate otherwise,4.0,positive,iboughtthistoreadbooksonexcellentforthatdifficulttonavigateotherwise,positive
I got this tablet on a deal and has good quality of video you can watch.,4.0,positive,igotthistabletonadealandhasgoodqualityofvideoyoucanwatch,positive
"I purchased the Kindle Fire 8"" after owning a 7"" for several years. I love the bigger screen and added features in this version.",5.0,positive,ipurchasedthekindlefire8afterowninga7forseveralyearsilovethebiggerscreenandaddedfeaturesinthisversion,positive
The Amazon Kindle is light weight and easy to use.,4.0,positive,theamazonkindleislightweightandeasytouse,positive
Im happy to have it. Very comfortable and easy to use every where,5.0,positive,imhappytohaveitverycomfortableandeasytouseeverywhere,positive
Easy to set up. Good size tablet. Like the addition of Alexa,5.0,positive,easytosetupgoodsizetabletliketheadditionofalexa,positive
"I purchased this table to use to check my email and get on Facebook, but I use it for so much more. It is a great tablet for a good price.",5.0,positive,ipurchasedthistabletousetocheckmyemailandgetonfacebookbutiuseitforsomuchmoreitisagreattabletforagoodprice,positive
Good product I would recommend it to everyone thank you,4.0,positive,goodproductiwouldrecommendittoeveryonethankyou,positive
I have had this for several weeks. It works great. I am very satisfied with it so far.,5.0,positive,ihavehadthisforseveralweeksitworksgreatiamverysatisfiedwithitsofar,positive
My daughter loves her tablet because she can carry it to all places,5.0,positive,mydaughterloveshertabletbecauseshecancarryittoallplaces,positive
"As always, great job! Very easy to use and it's always with me. Only problem I have is the button on the bottom is touchy, but not really an issue. Keep up the good work",4.0,positive,asalwaysgreatjobveryeasytouseanditsalwayswithmeonlyproblemihaveisthebuttononthebottomistouchybutnotreallyanissuekeepupthegoodwork,positive
Great product. Absolute love it. Alexa is fun to converse with and has a wealth of information,5.0,positive,greatproductabsoluteloveitalexaisfuntoconversewithandhasawealthofinformation,positive
Great addition to the amazon device family. Great Christmas gift.,4.0,positive,greatadditiontotheamazondevicefamilygreatchristmasgift,positive
"We use Alexa to ask simple questions like - what time is the basketball game? and she usually responds correctly. If you ask a more detailed question, she may not have an answer. We like to play Jeopardy and listen to local radio stations using Alexa. I am sure the device will get better with more use and updates.",4.0,positive,weusealexatoasksimplequestionslikewhattimeisthebasketballgameandsheusuallyrespondscorrectlyifyouaskamoredetailedquestionshemaynothaveananswerweliketoplayjeopardyandlistentolocalradiostationsusingalexaiamsurethedevicewillgetbetterwithmoreuseandupdates,positive
my son loves his new tablet. now he can play his games without making a mess of my phone.,4.0,positive,mysonloveshisnewtabletnowhecanplayhisgameswithoutmakingamessofmyphone,positive
We already love our other Alexa/Echo devices and this is our favorite. The drop in video chat feature is my favorite!,5.0,positive,wealreadyloveourotheralexaechodevicesandthisisourfavoritethedropinvideochatfeatureismyfavorite,positive
"Great price, great item and high quality, simple to buy on line and pick up",5.0,positive,greatpricegreatitemandhighqualitysimpletobuyonlineandpickup,positive
This is the second one I bought. My grandkids love them.,5.0,positive,thisisthesecondoneiboughtmygrandkidslovethem,positive
does everything our other tablets do and more. Like the sharing across platforms.,5.0,positive,doeseverythingourothertabletsdoandmorelikethesharingacrossplatforms,positive
"The Amazon Fire tablets are nice tablets. They're especially great for streaming tv and movies. And since it's a Kindle it's great for books too. It is a little odd with the Internet browser, and still a little limited in the app store. But overall a great little tablet.",5.0,positive,theamazonfiretabletsarenicetabletstheyreespeciallygreatforstreamingtvandmoviesandsinceitsakindleitsgreatforbookstooitisalittleoddwiththeinternetbrowserandstillalittlelimitedintheappstorebutoverallagreatlittletablet,positive
"Used it as a bluetooth speaker and love how I can use Spotify with it....just say Alexa, and ask for your favorite artist.....",4.0,positive,useditasabluetoothspeakerandlovehowicanusespotifywithitjustsayalexaandaskforyourfavoriteartist,positive
"Got this on sale for 69, decent display but you can tell it is not on par with other tablets. It is great if you have prime and use their services. Great speakes, makes a huge difference in Audio quality. Battert life is good, no complaints. I gave it 4 stars due to the play store access. There is a way around it, I do have it on here now but it took some work.",4.0,positive,gotthisonsalefor69decentdisplaybutyoucantellitisnotonparwithothertabletsitisgreatifyouhaveprimeandusetheirservicesgreatspeakesmakesahugedifferenceinaudioqualitybattertlifeisgoodnocomplaintsigaveit4starsduetotheplaystoreaccessthereisawayarounditidohaveitonherenowbutittooksomework,positive
"Quite light, easy to conceal, easy to use and quite quick.",4.0,positive,quitelighteasytoconcealeasytouseandquitequick,positive
"When I purchased the Tap I thought it was a portable speaker for the echo. It's actually it's own device. Yes, it's portable, can operate wireless.It does work with the same ""alexa"" set up. The Echo operates with no hands‚Ä¶you can simply speak to Alexa. The tap has a microphone button you need to hold down to speak to Alexa. Great sound quality. Rechargeable base unit.",5.0,positive,whenipurchasedthetapithoughtitwasaportablespeakerfortheechoitsactuallyitsowndeviceyesitsportablecanoperatewirelessitdoesworkwiththesamealexasetuptheechooperateswithnohandsäyoucansimplyspeaktoalexathetaphasamicrophonebuttonyouneedtoholddowntospeaktoalexagreatsoundqualityrechargeablebaseunit,positive
We love it! The whole family likes to ask questions.,5.0,positive,weloveitthewholefamilylikestoaskquestions,positive
"Awesome so far. Have used it as alarm clock, stereo, 2nd screen for movies (while multitasking on PC), news/weather, audiobooks, and more. The news flash can repeat itself at times, but I may have subscribed to too many subcategories, but a quick alexa - next skips right ahead. Still learning the variations of commands, and sometimes it hears what it wants to until I have to ar. tic. u. late. to the point of annoyance, but hey, this is still relatively new tech, and who would have imagined this 20 years or more ago",5.0,positive,awesomesofarhaveuseditasalarmclockstereo2ndscreenformovieswhilemultitaskingonpcnewsweatheraudiobooksandmorethenewsflashcanrepeatitselfattimesbutimayhavesubscribedtotoomanysubcategoriesbutaquickalexanextskipsrightaheadstilllearningthevariationsofcommandsandsometimesithearswhatitwantstountilihavetoarticulatetothepointofannoyancebutheythisisstillrelativelynewtechandwhowouldhaveimaginedthis20yearsormoreago,positive
Works great. Very responsive and quick. I love tying the whole house together with this and the echoes.,4.0,positive,worksgreatveryresponsiveandquickilovetyingthewholehousetogetherwiththisandtheechoes,positive
Bought for my wife to upgrade from the original Kindle that she has worn out. Big step up from the original and should be good for another 8-10 years.,5.0,positive,boughtformywifetoupgradefromtheoriginalkindlethatshehaswornoutbigstepupfromtheoriginalandshouldbegoodforanother810years,positive
I use this tablet as an e-reader and to listen to prime music at the same time. Great for this.Still leaning other features.,4.0,positive,iusethistabletasanereaderandtolistentoprimemusicatthesametimegreatforthisstillleaningotherfeatures,positive
Super easy to set up and use :)Got one for daughter and got one for self!!!!!!,4.0,positive,supereasytosetupandusegotonefordaughterandgotoneforself,positive
Love the new video version ! Easy to setup and great to use!,5.0,positive,lovethenewvideoversioneasytosetupandgreattouse,positive
Great product fun to use. Very easy to set up and begin useing,5.0,positive,greatproductfuntouseveryeasytosetupandbeginuseing,positive
Set up was simple. We liked so much we bought one for my Mom,5.0,positive,setupwassimplewelikedsomuchweboughtoneformymom,positive
Enjoying Alexa! There is so much you can ask her! Looking forward to the security monitoring .,5.0,positive,enjoyingalexathereissomuchyoucanaskherlookingforwardtothesecuritymonitoring,positive
I was literally still using my first gen Kindle Fire and finally upgraded. I love the new one. The only negative is the speakers. My first one is louder than this one.,4.0,positive,iwasliterallystillusingmyfirstgenkindlefireandfinallyupgradedilovethenewonetheonlynegativeisthespeakersmyfirstoneislouderthanthisone,positive
This was a gift for Christmas. We bought this on a black Friday sale. Price was reasonable,5.0,positive,thiswasagiftforchristmasweboughtthisonablackfridaysalepricewasreasonable,positive
Excellent product for what it does. Spouse loves it!Nough said!,5.0,positive,excellentproductforwhatitdoesspouselovesitnoughsaid,positive
"Amazing how much stuff this can do everything from a alarm clock to listening to music,asking questions and controlling devices .the sound front the speakers is really great.",5.0,positive,amazinghowmuchstuffthiscandoeverythingfromaalarmclocktolisteningtomusicaskingquestionsandcontrollingdevicesthesoundfrontthespeakersisreallygreat,positive
"I love my new Kindle. The size is perfect. It fits right in my purse. Easy to navigate and I love the touch screen. I am able to read outside without a glare. Only flaw is that it is not backlit, so in order to read in the dark I need a book light. I don't mind that so much, I just wish kindle would come out with a case for this Kindle with a built in book light like they did for the first generation Kindle.",4.0,positive,ilovemynewkindlethesizeisperfectitfitsrightinmypurseeasytonavigateandilovethetouchscreeniamabletoreadoutsidewithoutaglareonlyflawisthatitisnotbacklitsoinordertoreadinthedarkineedabooklightidontmindthatsomuchijustwishkindlewouldcomeoutwithacaseforthiskindlewithabuiltinbooklightliketheydidforthefirstgenerationkindle,positive
Exactly what I needed. Didn't want to settle for a generic off brand charger. Thanks to Best Buy I didn't have to.,5.0,positive,exactlywhatineededdidntwanttosettleforagenericoffbrandchargerthankstobestbuyididnthaveto,positive
We bought this for our 2 yr old granddaughter and she loves it! It has so many apps and videos for her to watch. I would definitely recommend this to anyone who is looking for a tablet for a child.,5.0,positive,weboughtthisforour2yroldgranddaughterandshelovesitithassomanyappsandvideosforhertowatchiwoulddefinitelyrecommendthistoanyonewhoislookingforatabletforachild,positive
"It a great product..,. The quality is awesome the pictures is good and clear...",5.0,positive,itagreatproductthequalityisawesomethepicturesisgoodandclear,positive
Any Kindle product I have purchased is easy to use,5.0,positive,anykindleproductihavepurchasediseasytouse,positive
"Love this product, able to read recipes instead of just hearing them. Speaker is pretty good too.",4.0,positive,lovethisproductabletoreadrecipesinsteadofjusthearingthemspeakerisprettygoodtoo,positive
"Love the echo show so much! Easy to use, connects to your mobil phone to easily call people!",5.0,positive,lovetheechoshowsomucheasytouseconnectstoyourmobilphonetoeasilycallpeople,positive
Love playing music and talking to Alexa and looking at my camera three the screen,5.0,positive,loveplayingmusicandtalkingtoalexaandlookingatmycamerathreethescreen,positive
Very easy to set up.Changed how I do a lot of things.,5.0,positive,veryeasytosetupchangedhowidoalotofthings,positive
"I bought two of these as a birthday gift for my niece and nephew. They absolutely love them. They use it all the time to play games and music. Great deal, great price LOVE ITL:)",5.0,positive,iboughttwooftheseasabirthdaygiftformynieceandnephewtheyabsolutelylovethemtheyuseitallthetimetoplaygamesandmusicgreatdealgreatpriceloveitl,positive
"Purchased as a gift for my 14 year old son. He absolutely loves it. Uses to place music, ask questions and turn off his lights!",5.0,positive,purchasedasagiftformy14yearoldsonheabsolutelylovesitusestoplacemusicaskquestionsandturnoffhislights,positive
"So much fun, love it...........................................................",5.0,positive,somuchfunloveit,positive
I already had the 1st gen Echo. This one has considerably more options that I can use. I highly recommend this item.,5.0,positive,ialreadyhadthe1stgenechothisonehasconsiderablymoreoptionsthaticanuseihighlyrecommendthisitem,positive
This is a great Tablet at a really great price. The best part is if you happen to break it just buy a new one,4.0,positive,thisisagreattabletatareallygreatpricethebestpartisifyouhappentobreakitjustbuyanewone,positive
"We're still learning all the things this device can do. So far, We're very pleased.",4.0,positive,werestilllearningallthethingsthisdevicecandosofarwereverypleased,positive
Awesome tablet with access to lots of apps. Great games and learning tools!,5.0,positive,awesometabletwithaccesstolotsofappsgreatgamesandlearningtools,positive
Had a great experience with my Best Buy rep! Great Job!,5.0,positive,hadagreatexperiencewithmybestbuyrepgreatjob,positive
I bought this for learning and entertaining purposes. My daughter is 5 & enjoys it. I compared this to other learning tablets and found for the price & protection plan this works best for us.,4.0,positive,iboughtthisforlearningandentertainingpurposesmydaughteris5enjoysiticomparedthistootherlearningtabletsandfoundforthepriceprotectionplanthisworksbestforus,positive
I upgraded to have more memory and this is a great little tablet. Works great and does everything I need it to do.,5.0,positive,iupgradedtohavemorememoryandthisisagreatlittletabletworksgreatanddoeseverythingineedittodo,positive
"The Amazon Show is a great addition to the Smart Home, easy to set up and to link up with a hub.",5.0,positive,theamazonshowisagreatadditiontothesmarthomeeasytosetupandtolinkupwithahub,positive
Good for alittle ones for games and movies picture not so clear but not expensive,3.0,neutral,goodforalittleonesforgamesandmoviespicturenotsoclearbutnotexpensive,positive
No issues perfect works as advertised........................,5.0,positive,noissuesperfectworksasadvertised,positive
Still seeing if if I like alexa like to try and set up lighting,4.0,positive,stillseeingififilikealexaliketotryandsetuplighting,positive
This is my 2nd tablet and it works great with downloading,4.0,positive,thisismy2ndtabletanditworksgreatwithdownloading,positive
